32405,43171715,Jamesburg Fire Department,82 W Railroad Ave,"Jamesburg, NJ",Jamesburg Fire Department,-74.441566544699,40.352721424322,facebook_places,182405095107241
32405,29528669,"Fiddleheads Restaurant, New American Bistro",27 East Railroad Ave (Rte 522),"Jamesburg, NJ",Fiddleheads Restaurant,-74.4363599,40.3494699,facebook_places,46102780967
32405,1011184539,Jamesburg Golden Garden Chinese Cuisine,39 E Railroad Ave,,Jamesburg Golden Garden Chinese Cuisine,-74.437425406667,40.350222343333,facebook_places,317146978326750
32405,1764201540460215,Jamesburg Police Department,131 Perrineville Road ,"Jamesburg, New Jersey",Jamesburg Police Department,-74.4391967,40.3455213,facebook_places,1764201540460215
32405,1226005367447085,TD Bank,230 Forsgate Drive,Jamesburg,TD Bank,-74.438098631871,40.346719663395,facebook_places,1226005367447085
32405,302432156891797,"Jamesburg, New Jersey",131 Perrineville Rd,"Jamesburg, New Jersey",Jamesburg,-74.4391967,40.3455213,facebook_places,302432156891797
32405,285105229,"Simply Ink Therapy, LLC",16 A Willow Street,"Jamesburg, New Jersey",Simply Ink Therapy,-74.43742,40.34751,facebook_places,211843405546166
32405,335949283,Jamesburg County Park Conservation Area,,,Jamesburg County Park Conservation Area,-74.432424624812,40.391686982955,facebook_places,146671848686150
32405,1034416976,Wawa,885 Cranbury South River Rd,,Wawa,-74.455256,40.378692,facebook_places,1670013319918164
32405,327885747,Jamesburg Elks Lodge 2180,74 W Railroad Ave,"Jamesburg, NJ",Jamesburg Elks Lodge 2180,-74.439855779339,40.351894767349,facebook_places,234239340001177
32405,295187940,Veteran's Park,141 Park Ave,,Veteran's Park,-74.35732741629,40.396757731374,facebook_places,145367125483404
32405,510519892485759,Barnes & Noble,One Barnes & Noble Way,,Barnes & Noble,-74.46518,40.35783,facebook_places,510519892485759
32405,20585049,Wakefern,355 Davidsons Mill Rd,,Wakefern,-74.445813246155,40.390769464061,facebook_places,131506506913649
32405,173150659,Per Tutti,49 E Railroad Ave,"Jamesburg, New Jersey",Per Tutti,-74.43793,40.35084,facebook_places,253554764796041
32405,11091314,Docks Corner Tavern,216 Docks Corner Rd,"Jamesburg, New Jersey",Docks Corner Tavern,-74.456243623173,40.360670093531,facebook_places,228186522508
32405,27699279,Jamesburg Public Library,229 Gatzmer Ave,"Jamesburg, NJ",Jamesburg Public Library,-74.441994,40.352757,facebook_places,185795978107560
32405,830762434,Grace M Breckwedel,13 Augusta St,"Jamesburg, NJ ",Grace M Breckwedel,-74.43774,40.35197,facebook_places,770962702977250
32405,251625491,St. John the Baptist Church (Manhattan),210 W 31st St,,St. John the Baptist Church (Manhattan),-73.992953,40.748885,facebook_places,214560901916641
32405,339743228,St John Baptist Church,137 Fairmount Ave,"Newark, New Jersey",St John Baptist Church,-74.1935101,40.7426198,facebook_places,312048662276734
32405,51964561,"ST. John Baptist  Church, Inwood Long Island, NY",4 Henry St,"Inwood, NY",ST. John Baptist  Church,-73.73993,40.61463,facebook_places,108562819165046
32405,439704953,Greater Saint John Baptist Church,11561 Farmers Blvd,"Saint Albans, NY",Greater Saint John Baptist Church,-73.76181,40.6942499,facebook_places,126639727389728
32405,266058074,Saint John The Baptist Church,239 Anderson Ave,"Fairview, NJ",Saint John The Baptist Church,-73.99539,40.81626,facebook_places,114251511938897
32405,838632855,St James School-Woodbridge,341 Amboy Ave,"Woodbridge, NJ ",St James School-Woodbridge,-74.282284035333,40.552940198,facebook_places,886614944696014
32405,13980584,St James Catholic Church,80 Hicksville Rd,,St James Catholic Church,-73.487528638526,40.722415554085,facebook_places,116407908386628
32405,12794652,Academy Learning Center School,145 Pergola Ave,,Academy Learning Center School,-74.410536214671,40.35336419701,facebook_places,118576478193734
32405,6299147,Thompson Park Fireworks,,,Thompson Park Fireworks,-74.435649301481,40.347143474728,facebook_places,102336133195997
32405,73589788,parkside tavern,2 Lincoln Ave,"Jamesburg, NJ",parkside tavern,-74.4428635,40.3539314,facebook_places,262537370700
32405,283722484,Helmetta Dam,,,Helmetta Dam,-74.426386688816,40.378336279527,facebook_places,105673942824140
32405,294488918,"Helmetta, New Jersey",,,Helmetta,-74.425278,40.3775,facebook_places,103125539728134
32405,1896953980517492,Helmetta Pond,,"Helmetta, NJ",Helmetta Pond,-74.430826,40.371619,facebook_places,1896953980517492
32405,1026021912,Helmetta Police Department,51  St Main ,"Helmetta, New Jersey",Helmetta Police Department,-74.4188866,40.3787831,facebook_places,991397080899767
32405,54550688,Nunzios II,2  Old Forge Rd ,,Nunzios II,-74.415151269767,40.379171675567,facebook_places,164262170347059
32405,363769073,"Helmetta, NJ Property Listings",117 Main St,,Helmetta,-74.28145,40.55342,facebook_places,580439388694415
32405,269594722,Helmetta Court,,,Helmetta Court,-74.418346135941,40.378613668508,facebook_places,209020639137925
32405,7513659,Helmetta Lake Park,,,Helmetta Lake Park,-74.425755158116,40.377964832475,facebook_places,331410623661870
32405,266203148,AJ Garden Chinese Restaurant,2 Old Forge Rd Ste 3,"Helmetta, NJ",AJ Garden Chinese Restaurant,-74.415017,40.379584,facebook_places,131353470398602
32405,30711477,Helmetta Foods,2 Old Forge Rd Ste 1,"Helmetta, NJ",Helmetta Foods,-74.415197705044,40.379200131578,facebook_places,147800745247420
32405,1028692253,Helmetta Borough Hall,60 Main St,"Helmetta, New Jersey, New Jersey",Helmetta Borough Hall,-74.41830479,40.379006005,facebook_places,507666782678829
32405,527131517465487,Helmetta Community Center,One Brookside Place,,Helmetta Community Center,-74.4269229,40.3756375,facebook_places,527131517465487
32405,376095189253722,G. W. Helme Snuff Mill District,,Helmetta,G. W. Helme Snuff Mill District,-74.424971999,40.377365696,facebook_places,376095189253722
32405,636843645,Helmetta Post Office,68  Main St ,,Helmetta Post Office,-74.42634,40.3749899,facebook_places,184010298334222
32405,1032384174,Villa Borghese II,66 Main St,Helmetta,Villa Borghese II,-74.42643,40.37535,facebook_places,457499971096195
32405,482126964,Helmetta Fire Department,62 Main St,"Helmetta, New Jersey",Helmetta Fire Department,-74.425940993294,40.375467084033,facebook_places,102931379781637
32405,1019332582,Helmetta Snuff Mill,,,Helmetta Snuff Mill,-74.4264064,40.3753312,facebook_places,679573968832354
